Journal of Neural Transmission,paper_titles,ISSN,eISSN,Impact_factor
1779,Child's Nervous System,0256-7040,1433-0350,1.4 (2022)
1780,Childhood Vulnerability Journal,,,
1781,Children's Literature in Education,0045-6713,1573-1693,0.4 (2022)
1782,China Accounting and Finance Review,,,
1783,China Finance and Economic Review,,,
1784,China Foundry,1672-6421,2365-9459,1.6 (2022)
1785,China International Strategy Review,2524-5627,2524-5635,49 days
1786,China Ocean Engineering,0890-5487,2191-8945,1.6 (2022)
1787,China Population and Development Studies,2096-448X,2523-8965,7 days
1788,China-EU Law Journal,1868-5153,1868-5161,0.8 (2022)
1789,"Chinese Annals of Mathematics, Series B",0252-9599,1860-6261,0.5 (2022)
1790,Chinese Geographical Science,1002-0063,1993-064X,3.4 (2022)
1791,Chinese Journal of Academic Radiology,2520-8985,2520-8993,16 days
1792,Chinese Journal of Cancer Research,,,
1793,Chinese Journal of Integrative Medicine,1672-0415,1993-0402,2.9 (2022)
1794,Chinese Journal of Mechanical Engineering,,,
1795,Chinese Journal of Polymer Science,0256-7679,1439-6203,4.3 (2022)
1796,Chinese Medicine,,,
1797,Chinese Neurosurgical Journal,,,
1798,Chinese Political Science Review,2365-4244,2365-4252,2.8 (2022)
1799,Chinesische Medizin / Chinese Medicine,,,"22,587 (2022)"
1800,Chiropractic & Manual Therapies,,,
1801,Chromatographia,0009-5893,1612-1112,1.7 (2022)
1802,Chromosoma,0009-5915,1432-0886,1.6 (2022)
1803,Chromosome Research,,,2.6 (2022)
1804,Cilia,,,
1805,"Circuits, Systems, and Signal Processing",0278-081X,1531-5878,2.3 (2022)
1806,Circular Economy and Sustainability,2730-597X,2730-5988,18 days
1807,"City, Territory and Architecture",,,
1808,Clays and Clay Minerals,0009-8604,1552-8367,2.2 (2022)
1809,Clean Technologies and Environmental Policy,1618-954X,1618-9558,4.3 (2022)
1810,Climate Change Responses,,,
1811,Climate Dynamics,0930-7575,1432-0894,4.6 (2022)
1812,Climatic Change,0165-0009,1573-1480,4.8 (2022)
1813,Clinical & Experimental Metastasis,0262-0898,1573-7276,4.0 (2022)
1814,Clinical Autonomic Research,0959-9851,1619-1560,5.8 (2022)
1815,Clinical Child and Family Psychology Review,1096-4037,1573-2827,6.9 (2022)
1816,Clinical Dentistry Reviewed,,,8 days
1817,Clinical Diabetes and Endocrinology,,,
1818,Clinical Drug Investigation,1173-2563,1179-1918,3.2 (2022)
1819,Clinical Epigenetics,,,
1820,Clinical Epileptology,2948-104X,2948-1058,0.5 (2022)
1821,Clinical Hematology International,,,9 days
1822,Clinical Hypertension,,,
1823,Clinical Journal of Gastroenterology,1865-7257,1865-7265,1.0 (2022)
1824,Clinical Neuroradiology,1869-1439,1869-1447,2.8 (2022)
1825,Clinical Oncology and Cancer Research,,,
1826,Clinical Oral Investigations,,,3.4 (2022)
1827,Clinical Orthopaedics and Related Research®,,,
1828,Clinical Pharmacokinetics,0312-5963,1179-1926,4.5 (2022)
1829,Clinical Phytoscience,,,
1830,Clinical Practice and Epidemiology in Mental Health,,,
1831,Clinical Proteomics,,,
1832,Clinical Research in Cardiology,1861-0684,1861-0692,5.0 (2022)
1833,Clinical Research in Cardiology Supplements,,,"21,802 (2022)"
1834,Clinical Reviews in Allergy & Immunology,,,9.1 (2022)
1835,Clinical Reviews in Bone and Mineral Metabolism,1534-8644,1559-0119,1.8 (2022)
1836,Clinical Rheumatology,0770-3198,1434-9949,3.4 (2022)
1837,Clinical Sarcoma Research,,,
1838,Clinical Social Work Journal,0091-1674,1573-3343,2.8 (2022)
1839,Clinical and Experimental Medicine,,,4.6 (2022)
1840,Clinical and Experimental Nephrology,1342-1751,1437-7799,2.3 (2022)
1841,Clinical and Molecular Allergy,,,
1842,Clinical and Translational Allergy,,,
1843,Clinical and Translational Imaging,2281-5872,2281-7565,2.1 (2022)
1844,Clinical and Translational Medicine,,,
1845,Clinical and Translational Oncology,1699-048X,1699-3055,3.4 (2022)
1846,Cliometrica,1863-2505,1863-2513,1.6 (2022)
1847,Cluster Computing,1386-7857,1573-7543,4.4 (2022)
1848,Coaching | Theorie & Praxis,,,59 days
1849,"Cognition, Technology & Work",1435-5558,1435-5566,2.6 (2022)
1850,Cognitive Computation,1866-9956,1866-9964,5.4 (2022)
1851,Cognitive Neurodynamics,1871-4080,1871-4099,3.7 (2022)
1852,Cognitive Processing,1612-4782,1612-4790,1.7 (2022)
1853,Cognitive Research: Principles and Implications,,,
1854,Cognitive Therapy and Research,0147-5916,1573-2819,2.8 (2022)
1855,"Cognitive, Affective, & Behavioral Neuroscience",1530-7026,1531-135X,2.9 (2022)
1856,Coke and Chemistry,1068-364X,1934-8398,0.4 (2022)
1857,Collagen and Leather,,,
1858,Collectanea Mathematica,0010-0757,2038-4815,1.1 (2022)
1859,Colloid Journal,1061-933X,1608-3067,1.1 (2022)
1860,Colloid and Polymer Science,0303-402X,1435-1536,2.4 (2022)
1861,Combination Products in Therapy,,,
1862,Combinatorica,0209-9683,1439-6912,1.1 (2022)
1863,"Combustion, Explosion, and Shock Waves",0010-5082,1573-8345,1.2 (2022)
1864,Commentarii Mathematici Helvetici,,,
1865,Communications in Mathematical Physics,0010-3616,1432-0916,2.4 (2022)
1866,Communications in Mathematics and Statistics,2194-6701,2194-671X,0.9 (2022)
1867,Communications on Applied Mathematics and Computation,2096-6385,2661-8893,1.6 (2022)
1868,Community Ecology,1585-8553,1588-2756,1.7 (2022)
1869,Community Mental Health Journal,0010-3853,1573-2789,2.7 (2022)
1870,Experimental Astronomy,0922-6435,1572-9508,3.0 (2022)
1871,Experimental Biology Online,,,
1872,Experimental Brain Research,0014-4819,1432-1106,2.0 (2022)
1873,Experimental Economics,1386-4157,1573-6938,2.3 (2022)
1874,Experimental Hematology & Oncology,,,
1875,Experimental Mechanics,,,2.4 (2022)
1876,Experimental Techniques,0732-8818,1747-1567,1.6 (2022)
1877,Experimental and Applied Acarology,0168-8162,1572-9702,2.2 (2022)
1878,Experimental and Computational Multiphase Flow,2661-8869,2661-8877,6.5 (2022)
1879,Experiments in Fluids,0723-4864,1432-1114,2.4 (2022)
1880,Expert Evidence,,,
1881,Exposure and Health,2451-9766,2451-9685,6.7 (2022)
1882,Extreme Physiology & Medicine,,,
1883,Extremes,1386-1999,1572-915X,1.3 (2022)
1884,Extremophiles,1431-0651,1433-4909,2.9 (2022)
1885,Eye and Vision,,,
1886,e & i Elektrotechnik und Informationstechnik,0932-383X,1613-7620,0.5 (2022)
1887,e-Neuroforum,,,
1888,e.Curriculum Innere Medizin,,,
1889,Comparative Hepatology,,,
1890,Complex Adaptive Systems Modeling,,,
1891,Compositio Mathematica,,,
1892,Comprehensive Therapy,,,
1893,Computational Astrophysics and Cosmology,,,
1894,Computational Brain & Behavior,2522-0861,2522-087X,7 days
1895,Computational Cognitive Science,,,
1896,Computational Economics,0927-7099,1572-9974,2.0 (2022)
1897,Computational Geosciences,1420-0597,1573-1499,2.5 (2022)
1898,Computational Management Science,1619-697X,1619-6988,0.9 (2022)
1899,Computational Mathematics and Mathematical Physics,0965-5425,1555-6662,0.7 (2022)
1900,Computational Mathematics and Modeling,1046-283X,1573-837X,"4,139 (2022)"
1901,Computational Mechanics,0178-7675,1432-0924,4.1 (2022)
1902,Computational Methods and Function Theory,1617-9447,2195-3724,2.1 (2022)
1903,Computational Optimization and Applications,0926-6003,1573-2894,2.2 (2022)
1904,Computational Particle Mechanics,2196-4378,2196-4386,3.3 (2022)
1905,Computational Social Networks,,,
1906,Computational Statistics,0943-4062,1613-9658,1.3 (2022)
1907,Computational Visual Media,2096-0433,2096-0662,6.9 (2022)
1908,Computational and Applied Mathematics,2238-3603,1807-0302,2.6 (2022)
1909,Computational and Mathematical Organization Theory,1381-298X,1572-9346,1.8 (2022)
1910,Computeralgebra-Rundbrief,,,
1911,Computing,0010-485X,1436-5057,3.7 (2022)
1912,Computing and Visualization in Science,,,
1913,Conservation Genetics,1566-0621,1572-9737,2.2 (2022)
1914,Conservation Genetics Resources,,,1.1 (2022)
1915,Constraints,1383-7133,1572-9354,1.6 (2022)
1916,Construction Robotics,2509-811X,2509-8780,8 days
1917,Constructive Approximation,0176-4276,1432-0940,2.7 (2022)
1918,Contemporary Family Therapy,0892-2764,1573-3335,1.3 (2022)
1919,Contemporary Jewry,0147-1694,1876-5165,6 days
1920,Contemporary Problems of Ecology,1995-4255,1995-4263,0.8 (2022)
1921,Contemporary School Psychology,2159-2020,2161-1505,8 days
1922,Continental Philosophy Review,1387-2842,1573-1103,0.8 (2022)
1923,Continuum Mechanics and Thermodynamics,0935-1175,1432-0959,2.6 (2022)
1924,Contraception and Reproductive Medicine,,,
1925,Control Theory and Technology,2095-6983,2198-0942,1.4 (2022)
1926,Controlling & Management Review,2195-8262,2195-8270,"317,177 (2022)"
1927,Coral Reefs,0722-4028,1432-0975,3.5 (2022)
1928,Corpus Pragmatics,2509-9507,2509-9515,1.0 (2022)
1929,Cosmic Research,0010-9525,1608-3075,0.6 (2022)
1930,Cough,,,
1931,Crime Science,,,
1932,"Crime, Law and Social Change",0925-4994,1573-0751,1.1 (2022)
1933,Criminal Law and Philosophy,1871-9791,1871-9805,0.5 (2022)
1934,Critical Care,,,
1935,Critical Care,,,
1936,Critical Criminology,1205-8629,1572-9877,1.8 (2022)
1937,Cryptography and Communications,1936-2447,1936-2455,1.4 (2022)
1938,Crystallography Reports,1063-7745,1562-689X,0.7 (2022)
1939,Cultural Studies of Science Education,1871-1502,1871-1510,1.2 (2022)
1940,Culture and Brain,,,
1941,"Culture, Medicine, and Psychiatry",0165-005X,1573-076X,1.7 (2022)
1942,Current Addiction Reports,,,4.3 (2022)
1943,Current Allergy and Asthma Reports,1529-7322,1534-6315,5.5 (2022)
1944,Current Anesthesiology Reports,,,1.3 (2022)
1945,Current Attention Disorders Reports,,,
1946,Current Behavioral Neuroscience Reports,,,1.7 (2022)
1947,Current Bladder Dysfunction Reports,1931-7212,1931-7220,0.4 (2022)
1948,Current Breast Cancer Reports,1943-4588,1943-4596,0.9 (2022)
1949,Current Cardiology Reports,1523-3782,1534-3170,3.7 (2022)
1950,Current Cardiovascular Imaging Reports,1941-9066,1941-9074,0.9 (2022)
1951,Current Cardiovascular Risk Reports,1932-9520,1932-9563,1.9 (2022)
1952,Current Climate Change Reports,,,9.5 (2022)
1953,Current Clinical Microbiology Reports,,,5.2 (2022)
1954,Current Colorectal Cancer Reports,,,
1955,Current Dermatology Reports,,,1.6 (2022)
1956,Current Developmental Disorders Reports,,,2.0 (2022)
1957,Current Diabetes Reports,1534-4827,1539-0829,4.2 (2022)
1958,Current Emergency and Hospital Medicine Reports,,,0.7 (2022)
1959,Current Environmental Health Reports,,,7.9 (2022)
1960,Current Epidemiology Reports,,,3.3 (2022)
1961,Current Food Science and Technology Reports,,,
1962,Current Forestry Reports,,,9.5 (2022)
1963,Current Fungal Infection Reports,1936-3761,1936-377X,1.4 (2022)
1964,Current GERD Reports,,,
1965,Current Gastroenterology Reports,1522-8037,1534-312X,63 days
1966,Current Genetic Medicine Reports,,,2.1 (2022)
1967,Current Genetics,0172-8083,1432-0983,2.5 (2022)
1968,Current Geriatrics Reports,,,1.2 (2022)
1969,Current HIV/AIDS Reports,1548-3568,1548-3576,4.6 (2022)
1970,Current Heart Failure Reports,1546-9530,1546-9549,23 days
1971,Current Hematologic Malignancy Reports,1558-8211,1558-822X,2.9 (2022)
1972,Current Hepatology Reports,,,2 days
1973,Current Hypertension Reports,1522-6417,1534-3111,5.6 (2022)
1974,Current Infectious Disease Reports,1523-3847,1534-3146,3.1 (2022)
1975,Current Landscape Ecology Reports,,,20 days
1976,Current Medical Science,2096-5230,2523-899X,2.4 (2022)
1977,Current Microbiology,0343-8651,1432-0991,2.6 (2022)
1978,Current Molecular Biology Reports,,,138 days
1979,Current Neurology and Neuroscience Reports,1528-4042,1534-6293,5.6 (2022)
1980,Current Nutrition Reports,,,4.9 (2022)
1981,Current Obesity Reports,,,8.8 (2022)
1982,Current Obstetrics and Gynecology Reports,,,0.5 (2022)
1983,Current Oncology Reports,1523-3790,1534-6269,4.7 (2022)
1984,Current Ophthalmology Reports,,,0.9 (2022)
1985,Current Oral Health Reports,,,48 days
1986,Current Otorhinolaryngology Reports,,,0.6 (2022)
1987,Current Pain and Headache Reports,1531-3433,1534-3081,3.7 (2022)
1988,Current Pathobiology Reports,,,
1989,Current Pediatrics Reports,,,1.9 (2022)
1990,Current Pharmacology Reports,,,25 days
1991,Current Physical Medicine and Rehabilitation Reports,,,1.1 (2022)
1992,Current Pollution Reports,,,7.3 (2022)
1993,Current Prostate Reports,,,
1994,Current Psychiatry Reports,1523-3812,1535-1645,6.7 (2022)
1995,Current Psychological Reviews,,,
1996,Current Psychology,1046-1310,1936-4733,2.8 (2022)
1997,Current Psychosis and Therapeutics Reports,,,
1998,Current Pulmonology Reports,,,0.6 (2022)
1999,Current Radiology Reports,,,0.7 (2022)
2000,Current Reviews in Musculoskeletal Medicine,,,4.1 (2022)
2001,Current Rheumatology Reports,1523-3774,1534-6307,5.0 (2022)
2002,Current Robotics Reports,,,33 days
2003,Current Sexual Health Reports,1548-3584,1548-3592,2.0 (2022)
2004,Current Sleep Medicine Reports,,,1.8 (2022)
2005,Current Sports Medicine Reports,,,
2006,Current Stem Cell Reports,,,1.4 (2022)
2007,Current Surgery Reports,,,0.6 (2022)
2008,Current Sustainable/Renewable Energy Reports,,,89 days
2009,Current Tissue Microenvironment Reports,,,184 days
2010,Current Transplantation Reports,,,2.1 (2022)
2011,Current Trauma Reports,,,0.7 (2022)
2012,Current Treatment Options in Allergy,,,1.1 (2022)
2013,Current Treatment Options in Cardiovascular Medicine,1092-8464,1534-3189,32 days
2014,Current Treatment Options in Gastroenterology,,,"96,482 (2022)"
2015,Current Treatment Options in Infectious Diseases,,,2.0 (2022)
2016,Current Treatment Options in Neurology,1092-8480,1534-3138,2.0 (2022)
2017,Current Treatment Options in Oncology,,,4.3 (2022)
2018,Current Treatment Options in Pediatrics,,,"72,284 (2022)"
2019,Current Treatment Options in Psychiatry,,,12 days
2020,Current Treatment Options in Rheumatology,,,1.2 (2022)
2021,Current Tropical Medicine Reports,,,5.4 (2022)
2022,Current Urology Reports,1527-2737,1534-6285,2.6 (2022)
2023,Curriculum Perspectives,0159-7868,2367-1793,8 days
2024,Customer Needs and Solutions,2196-291X,2196-2928,4 days
2025,Cybernetics and Systems Analysis,1060-0396,1573-8337,0.5 (2022)
2026,Cybersecurity,,,
2027,Cytology and Genetics,0095-4527,1934-9440,0.5 (2022)
2028,Cytotechnology,0920-9069,1573-0778,2.2 (2022)
2029,Czechoslovak Journal of Physics,0011-4626,1572-9486,
2030,Czechoslovak Mathematical Journal,0011-4642,1572-9141,0.5 (2022)
2031,Côlon & Rectum,,,
2032,coloproctology,0174-2442,1615-6730,0.4 (2022)
2033,computational complexity,1016-3328,1420-8954,1.4 (2022)
2034,cultura & psyché,,,"18,589 (2022)"
2035,L'Endocrinologo,1590-170X,1720-8351,"166,230 (2022)"
2036,L1-Educational Studies in Language and Literature,,,
2037,LO SCALPELLO-OTODI Educational,,,
2038,La Lettre de médecine physique et de réadaptation,,,
2039,La Matematica,,,35 days
2040,La Rivista Italiana della Medicina di Laboratorio - Italian Journal of Laboratory Medicine,,,
2041,La Rivista del Nuovo Cimento (1969-1970),,,
2042,La Rivista del Nuovo Cimento,0393-697X,1826-9850,4.5 (2022)
2043,La Rivista del Nuovo Cimento (1971-1977),,,
2044,La radiologia medica,,,8.9 (2022)
2045,Laboratory Animal Research,,,
2046,Landscape Ecology,0921-2973,1572-9761,5.2 (2022)
2047,Landscape and Ecological Engineering,1860-1871,1860-188X,2.0 (2022)
2048,Landslides,1612-510X,1612-5118,6.7 (2022)
2049,Langenbeck's Archives of Surgery,,,2.3 (2022)
2050,Language Policy,1568-4555,1573-1863,1.6 (2022)
2051,Language Resources and Evaluation,1574-020X,1574-0218,2.7 (2022)
2052,Language Testing in Asia,,,
2053,Large-scale Assessments in Education,,,
2054,Laser Physics,,,
2055,Lasers in Dental Science,,,11 days
2056,Lasers in Manufacturing and Materials Processing,2196-7229,2196-7237,5 days
2057,Lasers in Medical Science,,,2.1 (2022)
2058,Latin American Economic Review,,,
2059,Law and Critique,0957-8536,1572-8617,1.2 (2022)
2060,Law and Human Behavior,,,
2061,Law and Philosophy,0167-5249,1573-0522,0.8 (2022)
2062,"Leadership, Education, Personality: An Interdisciplinary Journal",,,19 days
2063,Learning & Behavior,1543-4494,1543-4508,1.8 (2022)
2064,Learning Environments Research,1387-1579,1573-1855,2.9 (2022)
2065,Learning Inquiry,,,
2066,Les cahiers de l'année gérontologique,,,
2067,Lettera Matematica,,,
2068,Lettera Matematica Pristem,,,
2069,Lettere al Nuovo Cimento (1971-1985),,,
2070,Letters in Mathematical Physics,,,1.2 (2022)
2071,Letters in Spatial and Resource Sciences,,,1.8 (2022)
2072,Leviathan,,,
2073,Lexicography,,,
2074,Life Cycle Reliability and Safety Engineering,2520-1352,2520-1360,17 days
2075,"Life Sciences, Society and Policy",,,
2076,Lifetime Data Analysis,1380-7870,1572-9249,1.3 (2022)
2077,Lightweight Design,,,
2078,Lightweight Design worldwide,,,
2079,Limnology,1439-8621,1439-863X,1.6 (2022)
2080,Lingua Sinica,,,
2081,Linguistics and Philosophy,0165-0157,1573-0549,1.1 (2022)
2082,Lipids,,,
2083,Lipids in Health and Disease,,,
2084,List Forum für Wirtschafts- und Finanzpolitik,0937-0862,2364-3943,28 days
2085,Lithology and Mineral Resources,0024-4902,1608-3229,0.8 (2022)
2086,Lithuanian Mathematical Journal,0363-1672,1573-8825,0.4 (2022)
2087,Liverpool Law Review,0144-932X,1572-8625,1.0 (2022)
2088,Lobachevskii Journal of Mathematics,1995-0802,1818-9962,0.7 (2022)
2089,Logic and Analysis,,,
2090,Logica Universalis,1661-8297,1661-8300,0.8 (2022)
2091,Logistics Research,,,
2092,Longevity & Healthspan,,,
2093,Lucide,,,
2094,Lung,0341-2040,1432-1750,5.0 (2022)
2095,VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations,0957-8765,1573-7888,2.4 (2022)
2096,Vakblad Sociaal Werk,2468-7456,2468-7464,"62,248 (2022)"
2097,Vascular Cell,,,
2098,Vegetation History and Archaeobotany,0939-6314,1617-6278,2.5 (2022)
2099,Veterinary Research,,,
2100,Veterinary Research Communications,0165-7380,1573-7446,2.2 (2022)
2101,Video Journal of Education and Pedagogy,,,
2102,Vietnam Journal of Computer Science,,,
2103,Vietnam Journal of Mathematics,2305-221X,2305-2228,0.8 (2022)
2104,Virchows Archiv B Cell Pathology,,,
2105,Virologica Sinica,,,
2106,Virology Journal,,,
2107,Virtual Reality,1359-4338,1434-9957,4.2 (2022)
2108,Virus Genes,0920-8569,1572-994X,1.6 (2022)
2109,VirusDisease,2347-3584,2347-3517,18 days
2110,"Visual Computing for Industry, Biomedicine, and Art",,,
2111,Visual Geosciences,,,
2112,Visualization in Engineering,,,
2113,Vocations and Learning,1874-785X,1874-7868,2.8 (2022)
2114,HAND,,,
2115,HEC Forum,0956-2737,1572-8498,1.5 (2022)
2116,HMD Praxis der Wirtschaftsinformatik,1436-3011,2198-2775,10 days
2117,HNO,0017-6192,1433-0458,0.9 (2022)
2118,HNO Nachrichten,0177-1000,2198-6533,"213,560 (2022)"
2119,HSS Journal ®,,,
2120,Hague Journal on the Rule of Law,1876-4045,1876-4053,2.2 (2022)
2121,Harm Reduction Journal,,,
2122,Head & Face Medicine,,,
2123,Head & Neck Oncology,,,
2124,Head and Neck Pathology,,,2.1 (2022)
2125,Health & Justice,,,
2126,Health Care Analysis,1065-3058,1573-3394,1.9 (2022)
2127,Health Economics Review,,,
2128,Health Information Science and Systems,,,6.0 (2022)
2129,Health Research Policy and Systems,,,
2130,Health Services and Outcomes Research Methodology,1387-3741,1572-9400,1.5 (2022)
2131,Health Statistics Quarterly,,,
2132,Health Systems,,,
2133,Health and Quality of Life Outcomes,,,
2134,Health and Technology,2190-7188,2190-7196,2.5 (2022)
2135,Heart Failure Reviews,,,4.6 (2022)
2136,Heart and Vessels,0910-8327,1615-2573,1.5 (2022)
2137,Heat and Mass Transfer,0947-7411,1432-1181,2.2 (2022)
2138,Hebammen Wissen,2730-7247,2730-7255,"24,037 (2022)"
2139,Heilberufe,0017-9604,1867-1535,"287,595 (2022)"
2140,HeilberufeScience,,,"69,265 (2022)"
2141,Helgoland Marine Research,,,
2142,Hellenic Journal of Surgery,,,
2143,Helminthologia,,,
2144,Hematology and Cell Therapy,,,
2145,Hepatology International,1936-0533,1936-0541,6.6 (2022)
2146,"Hepatology, Medicine and Policy",,,
2147,Herald of the Russian Academy of Sciences,1019-3316,1555-6492,0.5 (2022)
2148,Hereditary Cancer in Clinical Practice,,,
2149,Hereditas,,,
2150,Heritage Science,,,
2151,Hernia,1265-4906,1248-9204,2.3 (2022)
2152,Herpesviridae,,,
2153,Herz,0340-9937,1615-6692,1.7 (2022)
2154,Herzschrittmachertherapie + Elektrophysiologie,0938-7412,1435-1544,"111,718 (2022)"
2155,High Blood Pressure & Cardiovascular Prevention,1120-9879,1179-1985,3.0 (2022)
2156,High Energy Chemistry,0018-1439,1608-3148,0.7 (2022)
2157,High Entropy Alloys & Materials,2731-5819,2731-5827,11 days
2158,High Temperature,0018-151X,1608-3156,1.0 (2022)
2159,High Temperature Corrosion of Materials,2731-8397,2731-8400,2.2 (2022)
2160,Higher Education,0018-1560,1573-174X,5.0 (2022)
2161,Higher-Order and Symbolic Computation,,,
2162,Histochemistry and Cell Biology,0948-6143,1432-119X,2.3 (2022)
2163,Historical Archaeology,0440-9213,2328-1103,0.8 (2022)
2164,History and Philosophy of the Life Sciences,0391-9714,1742-6316,2.0 (2022)
2165,Homo Oeconomicus,,,0.8 (2022)
2166,Hormones,1109-3099,2520-8721,3.2 (2022)
2167,"Horticulture, Environment, and Biotechnology",2211-3452,2211-3460,2.4 (2022)
2168,Huisarts Nu,,,
2169,Huisarts en wetenschap,0018-7070,1876-5912,7 days
2170,Human Affairs,,,
2171,Human Arenas,2522-5790,2522-5804,1.3 (2022)
2172,Human Cell,,,4.3 (2022)
2173,Human Ecology,0300-7839,1572-9915,2.0 (2022)
2174,Human Evolution,,,
2175,Human Factors and Mechanical Engineering for Defense and Safety,,,8 days
2176,Human Genetics,0340-6717,1432-1203,5.3 (2022)
2177,Human Genomics,,,
2178,Human Nature,1045-6767,1936-4776,2.5 (2022)
2179,Human Physiology,0362-1197,1608-3164,"24,726 (2022)"
2180,Human Relations,,,
2181,Human Resources for Health,,,
2182,Human Rights Review,1524-8879,1874-6306,1.4 (2022)
2183,Human Studies,0163-8548,1572-851X,1.0 (2022)
2184,Human-Centric Intelligent Systems,,,
2185,Human-Intelligent Systems Integration,2524-4876,2524-4884,56 days
2186,Human-centric Computing and Information Sciences,,,
2187,Humanistic Management Journal,2366-603X,2366-6048,10 days
2188,Hungarica Acta Physica,,,
2189,Husserl Studies,0167-9848,1572-8501,1.3 (2022)
2190,Hydrobiologia,0018-8158,1573-5117,2.6 (2022)
2191,Hydrogeology Journal,1431-2174,1435-0157,2.8 (2022)
2192,Hyperfine Interactions,,,9 days
2193,hautnah,1866-2250,2192-6484,"36,980 (2022)"
2194,hautnah dermatologie,0938-0221,2196-6451,"288,845 (2022)"
2195,TBV – Tijdschrift voor Bedrijfs- en Verzekeringsgeneeskunde,0929-600X,1876-5858,40 days
2196,TEST,1133-0686,1863-8260,1.3 (2022)
2197,TOP,1134-5764,1863-8279,1.7 (2022)
2198,TSG - Tijdschrift voor gezondheidswetenschappen,,,35 days
2199,TVZ - Verpleegkunde in praktijk en wetenschap,1380-3425,2468-1342,"109,888 (2022)"
2200,Tandartspraktijk,0167-1685,1875-6808,"26,058 (2022)"
2201,Targeted Oncology,1776-2596,1776-260X,5.4 (2022)
2202,Taylor's Business Review (TBR),,,
2203,Teaching Business Ethics,,,
2204,TechTrends,8756-3894,1559-7075,2.5 (2022)
2205,Technical Physics,1063-7842,1090-6525,0.7 (2022)
2206,Technical Physics Letters,1063-7850,1090-6533,0.6 (2022)
2207,Techniques in Coloproctology,1123-6337,1128-045X,3.3 (2022)
2208,Technology Operation Management,,,
2209,"Technology, Innovation and Education",,,
2210,"Technology, Knowledge and Learning",2211-1662,2211-1670,3.3 (2022)
2211,Telecommunication Systems,1018-4864,1572-9451,2.5 (2022)
2212,Tertiary Education and Management,1358-3883,1573-1936,1.2 (2022)
2213,Textiles and Clothing Sustainability,,,
2214,Thalassas: An International Journal of Marine Sciences,0212-5919,2366-1674,0.7 (2022)
2215,The AAPS Journal,,,4.5 (2022)
2216,The American Journal of Digestive Diseases,,,
2217,The American Sociologist,0003-1232,1936-4784,0.7 (2022)
2218,The Analysis of Verbal Behavior,0889-9401,2196-8926,0.5 (2022)
2219,The Annals of Regional Science,0570-1864,1432-0592,1.7 (2022)
2220,The Asia-Pacific Education Researcher,0119-5646,2243-7908,3.3 (2022)
2221,The Astronomy and Astrophysics Review,0935-4956,1432-0754,25.8 (2022)
2222,The Australian Educational Researcher,0311-6999,2210-5328,2.1 (2022)
2223,The Australian Journal of Language and Literacy,1038-1562,1839-4728,0.8 (2022)
2224,The Botanical Review,,,4.0 (2022)
2225,The Cardiothoracic Surgeon,,,
2226,The Cerebellum,,,3.5 (2022)
2227,The Chemical Educator,,,
2228,The Chemists' Section of the Cotton Oil Press,,,
2229,The Chinese-German Journal of Clinical Oncology,,,
2230,The Computer Games Journal,,,
2231,Dublin Journal of Medical and Chemical Science,,,
2232,The Egyptian Heart Journal,,,
2233,The Egyptian Journal of Bronchology,,,
2234,The Egyptian Journal of Internal Medicine,,,
2235,"The Egyptian Journal of Neurology, Psychiatry and Neurosurgery",,,
2236,The Egyptian Journal of Otolaryngology,,,
2237,,,,
2238,The European Journal of Health Economics,1618-7598,1618-7601,4.4 (2022)
2239,The European Physical Journal A,,,2.6 (2022)
2240,The European Physical Journal B,1434-6028,1434-6036,1.6 (2022)
2241,The European Physical Journal D,1434-6060,1434-6079,1.8 (2022)
2242,The European Physical Journal E,1292-8941,1292-895X,1.8 (2022)
2243,The European Physical Journal H,2102-6459,2102-6467,1.0 (2022)
2244,The European Physical Journal Plus,,,3.4 (2022)
2245,The European Physical Journal Special Topics,1951-6355,1951-6401,2.8 (2022)
2246,The HUGO Journal,,,
2247,The Indian Journal of Labour Economics,0971-7927,0019-5308,1.5 (2022)
2248,The International Journal of Advanced Manufacturing Technology,0268-3768,1433-3015,3.4 (2022)
2249,The International Journal of Cardiovascular Imaging,1569-5794,1875-8312,2.1 (2022)
2250,The International Journal of Life Cycle Assessment,0948-3349,1614-7502,4.8 (2022)
2251,The International Sports Law Journal,1567-7559,2213-5154,1.1 (2022)
2252,The Japanese Economic Review,1352-4739,1468-5876,1.2 (2022)
2253,The Journal of Analysis,,,0.8 (2022)
2254,The Journal of Basic and Applied Zoology,,,
2255,The Journal of Behavioral Health Services & Research,,,1.9 (2022)
2256,The Journal of Chinese Sociology,,,
2257,The Journal of East Asian Philosophy,2730-5406,2730-5414,52 days
2258,The Journal of Economic Inequality,1569-1721,1573-8701,2.4 (2022)
2259,The Journal of Ethics,1382-4554,1572-8609,0.9 (2022)
2260,The Journal of Frailty & Aging,,,3.9 (2022)
2261,The Journal of Geometric Analysis,1050-6926,1559-002X,1.1 (2022)
2262,The Journal of Global Positioning Systems,,,
2263,The Journal of Headache and Pain,,,
2264,The Journal of Indian Prosthodontic Society,,,
2265,The Journal of Mathematical Neuroscience,,,
2266,The Journal of Membrane Biology,0022-2631,1432-1424,2.4 (2022)
2267,The Journal of Obstetrics and Gynecology of India,0971-9202,0975-6434,0.7 (2022)
2268,The Journal of Physiological Sciences,,,
